"Age1" "Age2" "Age3" "Age4" "Age5" "Age6" "Age7" "Age8" "Sim"
8725895.063086 10625801.677605 1617739.320334 770747.903988 398150.130353 241210.184939 439583.554379 398309.994494 1
14316106.158368 3881613.13818 5524841.557255 920371.020725 464852.714811 244967.410523 152058.410617 538908.492825 1
7835309.827001 6368421.413692 2021158.851904 3159370.03005 558810.180077 288786.797118 155927.828125 449836.007682 1
13621675.602512 3485480.799449 3315663.474529 1155329.986937 1917228.816786 346893.333294 183680.196055 393948.014276 1
20926580.564977 6059530.070988 1815763.272364 1899272.256142 703016.882946 1194881.404836 221513.482041 376955.797081 1
3969003.813896 9309061.432757 3155937.739528 1039196.702809 1154395.165516 437424.331579 761755.047461 389750.80881 1
13446130.699033 1765578.459362 4845137.769511 1801959.192012 629701.164291 715094.378941 277629.21026 744831.09982 1
15491810.100264 5981417.509377 919310.739798 2770392.251081 1093923.736622 391120.470969 455085.26203 665237.694417 1
11877605.767665 6891412.490512 3113743.51586 525238.036884 1680115.070819 678452.019082 248539.829673 727037.009305 1
13694308.258873 5283682.996339 3589449.066946 1782492.077381 319346.202407 1045867.484218 432723.148885 636227.34372 1
10825129.862423 6091834.986774 2752209.022658 2055234.084788 1084048.48459 198868.866387 667321.410593 696544.292027 1
4397361.992157 4815494.717209 3172931.388344 1575438.503304 1249495.462521 674745.004481 126826.826428 887670.210374 1
3049324.921383 1956149.706527 2509784.186852 1820456.746434 960674.507498 781109.235607 432185.431582 665114.422508 1
4557600.696996 1356472.210594 1018669.041912 1435715.347689 1105805.411552 597205.359692 497522.308598 713834.179185 1
10624227.715234 2027418.932749 706391.7371 582744.404157 872134.899176 687465.240714 380407.513459 787969.40327 1
11526116.620792 4726081.590014 1054671.517333 402588.888446 352267.74677 538371.961874 434813.34919 755172.612473 1
6462575.568147 5127217.28191 2454568.785784 597669.398989 241567.11176 215132.884065 336875.71771 760677.188134 1
5408776.132963 2874771.979405 2662115.827259 1389517.538173 358133.30805 147235.751478 134349.367385 700536.789546 1
2941956.74901 2406079.982146 1498856.919838 1529384.13239 848752.082117 224438.407713 94540.761878 548557.65126 1
6046178.519187 1308719.964623 1254248.912331 860510.524261 933364.191786 531225.985125 143929.226927 422053.24854 1
12736547.87724 2689618.257543 682049.623653 719466.812977 524578.366504 583248.206306 340122.171403 370527.203539 1
8374804.522519 5665686.345543 1397811.601652 387403.248975 433005.296777 321764.151773 366550.695949 455836.699082 1
6240996.024548 3725414.289633 2943662.397117 793164.020527 232853.134533 265096.295568 201837.316301 526658.617542 1
14699953.208817 2776228.01689 1936383.413125 1672795.990235 477656.665092 142955.623478 166753.965449 468469.38101 1
9507869.725639 6539196.695105 1446294.380677 1109241.011094 1017948.582241 297714.682407 91293.322097 414760.001143 1
5922145.238837 4229521.546325 3406178.66425 828103.102846 674589.355983 633898.855876 189953.690348 330342.616616 1
13618625.90621 2634443.949247 2204407.773444 1954364.506713 504990.553717 421746.417189 406055.354093 340477.465259 1
8018686.56671 6058165.635099 1372174.354454 1261942.254526 1188269.00219 314359.165069 268997.119863 485722.950839 1
5138814.465017 3567066.291971 3155539.993687 785597.314594 767370.061587 739842.103798 200541.26842 491888.131498 1
5574215.752067 2285974.532981 1858287.611788 1807627.362383 478061.427891 478289.113661 472474.140278 452014.080172 1
15460378.022927 2479652.288384 1190356.361706 1062808.736521 1097716.947383 297072.012179 304524.252256 600609.045153 1
7562103.279147 6877430.816527 1290847.824489 680127.62973 644582.30192 680862.500652 188792.240318 587770.722069 1
7353742.190541 3363940.884977 3579809.62563 737241.58088 412269.400967 399494.086405 432359.24455 504269.571739 1
3002181.379033 3271291.227049 1753766.514371 2056040.696391 450166.532907 258232.675279 256385.702697 613598.100949 1
12172278.333181 1335510.886059 1705301.875077 1006925.682996 1254887.647408 281791.299022 165622.34324 570346.150108 1
8490158.95191508 3775700.35626698 1890232.23910469 940762.236804581 476712.678570156 227884.598043634 111616.037562163 111533.325651533 2
17682617.011182 3775719.49509 1891539.253758 943062.672617 478230.84836 228937.141233 112131.564725 112048.470788 2
4549598.645759 7863657.698235 1888082.771953 937618.873492 475372.688971 226875.154519 111280.472902 111198.009658 2
17157489.876161 2023345.499508 3955700.723302 955738.862226 485709.502071 234621.084657 114728.972785 114807.842012 2
6430423.577342 7632470.223147 1055041.722141 2273339.667012 584054.000349 304589.186347 150750.33125 150501.981219 2
6321344.372539 2860568.706321 3981624.982939 607297.964251 1392124.464331 367362.820177 196295.360116 198117.353409 2
19067380.399935 2812054.104232 1492936.152861 2295496.628768 372654.355904 878235.619393 237455.119825 260161.718841 2
25457257.631803 8482030.49115 1465119.149089 855547.961716 1397587.380946 232438.815816 561263.571276 324585.528138 2
30712524.971571 11324557.110073 4420379.767821 840362.058372 521500.686138 873208.514439 148799.338734 578069.337038 2
10843219.882521 13662407.543379 5905654.049443 2541366.042214 513803.745673 327270.879137 561466.432122 478076.420637 2
6594552.043976 4823588.516024 7125435.990486 3396314.49006 1554426.65132 322625.940225 210553.631489 682267.490565 2
