"Sim" "Mselectivity" "Maturity" "Weight" "Fselectivity" "UnfishedNAA"
40 0.59 0.98 0.11 0.69 1696197.43711112
40 0.55 1 0.14 1 1051785.23473759
40 0.52 1 0.16 1 673672.591073548
40 0.5 1 0.18 1 442103.590810522
40 0.49 1 0.21 1 900103.722088287
41 1 0 0.018 0.0011 12542074.3976634
41 0.8 0.02 0.04 0.15 5579442.96296882
41 0.67 0.63 0.073 0.53 2918555.91410268
41 0.59 0.98 0.11 0.69 1696197.43711112
41 0.55 1 0.14 1 1051785.23473759
41 0.52 1 0.16 1 673672.591073548
41 0.5 1 0.18 1 442103.590810522
41 0.49 1 0.21 1 900103.722088287
42 1 0 0.018 0.0011 12542074.3976634
42 0.8 0.02 0.04 0.15 5579442.96296882
42 0.67 0.63 0.073 0.53 2918555.91410268
42 0.59 0.98 0.11 0.69 1696197.43711112
42 0.55 1 0.14 1 1051785.23473759
42 0.52 1 0.16 1 673672.591073548
42 0.5 1 0.18 1 442103.590810522
42 0.49 1 0.21 1 900103.722088287
43 1 0 0.018 0.0011 12542074.3976634
43 0.8 0.02 0.04 0.15 5579442.96296882
43 0.67 0.63 0.073 0.53 2918555.91410268
43 0.59 0.98 0.11 0.69 1696197.43711112
43 0.55 1 0.14 1 1051785.23473759
43 0.52 1 0.16 1 673672.591073548
43 0.5 1 0.18 1 442103.590810522
43 0.49 1 0.21 1 900103.722088287
44 1 0 0.018 0.0011 12542074.3976634
44 0.8 0.02 0.04 0.15 5579442.96296882
44 0.67 0.63 0.073 0.53 2918555.91410268
44 0.59 0.98 0.11 0.69 1696197.43711112
44 0.55 1 0.14 1 1051785.23473759
44 0.52 1 0.16 1 673672.591073548
44 0.5 1 0.18 1 442103.590810522
44 0.49 1 0.21 1 900103.722088287
45 1 0 0.018 0.0011 12542074.3976634
45 0.8 0.02 0.04 0.15 5579442.96296882
45 0.67 0.63 0.073 0.53 2918555.91410268
45 0.59 0.98 0.11 0.69 1696197.43711112
45 0.55 1 0.14 1 1051785.23473759
45 0.52 1 0.16 1 673672.591073548
45 0.5 1 0.18 1 442103.590810522
45 0.49 1 0.21 1 900103.722088287
46 1 0 0.018 0.0011 12542074.3976634
46 0.8 0.02 0.04 0.15 5579442.96296882
46 0.67 0.63 0.073 0.53 2918555.91410268
46 0.59 0.98 0.11 0.69 1696197.43711112
46 0.55 1 0.14 1 1051785.23473759
46 0.52 1 0.16 1 673672.591073548
46 0.5 1 0.18 1 442103.590810522
46 0.49 1 0.21 1 900103.722088287
47 1 0 0.018 0.0011 12542074.3976634
47 0.8 0.02 0.04 0.15 5579442.96296882
47 0.67 0.63 0.073 0.53 2918555.91410268
47 0.59 0.98 0.11 0.69 1696197.43711112
47 0.55 1 0.14 1 1051785.23473759
47 0.52 1 0.16 1 673672.591073548
47 0.5 1 0.18 1 442103.590810522
47 0.49 1 0.21 1 900103.722088287
48 1 0 0.018 0.0011 12542074.3976634
48 0.8 0.02 0.04 0.15 5579442.96296882
48 0.67 0.63 0.073 0.53 2918555.91410268
48 0.59 0.98 0.11 0.69 1696197.43711112
48 0.55 1 0.14 1 1051785.23473759
48 0.52 1 0.16 1 673672.591073548
48 0.5 1 0.18 1 442103.590810522
48 0.49 1 0.21 1 900103.722088287
49 1 0 0.018 0.0011 12542074.3976634
49 0.8 0.02 0.04 0.15 5579442.96296882
49 0.67 0.63 0.073 0.53 2918555.91410268
49 0.59 0.98 0.11 0.69 1696197.43711112
49 0.55 1 0.14 1 1051785.23473759
49 0.52 1 0.16 1 673672.591073548
49 0.5 1 0.18 1 442103.590810522
49 0.49 1 0.21 1 900103.722088287
50 1 0 0.018 0.0011 12542074.3976634
50 0.8 0.02 0.04 0.15 5579442.96296882
50 0.67 0.63 0.073 0.53 2918555.91410268
50 0.59 0.98 0.11 0.69 1696197.43711112
50 0.55 1 0.14 1 1051785.23473759
50 0.52 1 0.16 1 673672.591073548
50 0.5 1 0.18 1 442103.590810522
50 0.49 1 0.21 1 900103.722088287
51 1 0 0.018 0.0011 12542074.3976634
51 0.8 0.02 0.04 0.15 5579442.96296882
51 0.67 0.63 0.073 0.53 2918555.91410268
51 0.59 0.98 0.11 0.69 1696197.43711112
51 0.55 1 0.14 1 1051785.23473759
51 0.52 1 0.16 1 673672.591073548
51 0.5 1 0.18 1 442103.590810522
51 0.49 1 0.21 1 900103.722088287
52 1 0 0.018 0.0011 12542074.3976634
52 0.8 0.02 0.04 0.15 5579442.96296882
52 0.67 0.63 0.073 0.53 2918555.91410268
52 0.59 0.98 0.11 0.69 1696197.43711112
52 0.55 1 0.14 1 1051785.23473759
52 0.52 1 0.16 1 673672.591073548
52 0.5 1 0.18 1 442103.590810522
52 0.49 1 0.21 1 900103.722088287
53 1 0 0.018 0.0011 12542074.3976634
53 0.8 0.02 0.04 0.15 5579442.96296882
53 0.67 0.63 0.073 0.53 2918555.91410268
53 0.59 0.98 0.11 0.69 1696197.43711112
53 0.55 1 0.14 1 1051785.23473759
53 0.52 1 0.16 1 673672.591073548
53 0.5 1 0.18 1 442103.590810522
53 0.49 1 0.21 1 900103.722088287
54 1 0 0.018 0.0011 12542074.3976634
54 0.8 0.02 0.04 0.15 5579442.96296882
54 0.67 0.63 0.073 0.53 2918555.91410268
54 0.59 0.98 0.11 0.69 1696197.43711112
54 0.55 1 0.14 1 1051785.23473759
54 0.52 1 0.16 1 673672.591073548
54 0.5 1 0.18 1 442103.590810522
54 0.49 1 0.21 1 900103.722088287
55 1 0 0.018 0.0011 12542074.3976634
55 0.8 0.02 0.04 0.15 5579442.96296882
55 0.67 0.63 0.073 0.53 2918555.91410268
55 0.59 0.98 0.11 0.69 1696197.43711112
55 0.55 1 0.14 1 1051785.23473759
55 0.52 1 0.16 1 673672.591073548
55 0.5 1 0.18 1 442103.590810522
55 0.49 1 0.21 1 900103.722088287
56 1 0 0.018 0.0011 12542074.3976634
56 0.8 0.02 0.04 0.15 5579442.96296882
56 0.67 0.63 0.073 0.53 2918555.91410268
56 0.59 0.98 0.11 0.69 1696197.43711112
56 0.55 1 0.14 1 1051785.23473759
56 0.52 1 0.16 1 673672.591073548
56 0.5 1 0.18 1 442103.590810522
56 0.49 1 0.21 1 900103.722088287
57 1 0 0.018 0.0011 12542074.3976634
57 0.8 0.02 0.04 0.15 5579442.96296882
57 0.67 0.63 0.073 0.53 2918555.91410268
57 0.59 0.98 0.11 0.69 1696197.43711112
57 0.55 1 0.14 1 1051785.23473759
57 0.52 1 0.16 1 673672.591073548
57 0.5 1 0.18 1 442103.590810522
57 0.49 1 0.21 1 900103.722088287
58 1 0 0.018 0.0011 12542074.3976634
58 0.8 0.02 0.04 0.15 5579442.96296882
58 0.67 0.63 0.073 0.53 2918555.91410268
58 0.59 0.98 0.11 0.69 1696197.43711112
58 0.55 1 0.14 1 1051785.23473759
58 0.52 1 0.16 1 673672.591073548
58 0.5 1 0.18 1 442103.590810522
58 0.49 1 0.21 1 900103.722088287
59 1 0 0.018 0.0011 12542074.3976634
59 0.8 0.02 0.04 0.15 5579442.96296882
59 0.67 0.63 0.073 0.53 2918555.91410268
59 0.59 0.98 0.11 0.69 1696197.43711112
59 0.55 1 0.14 1 1051785.23473759
59 0.52 1 0.16 1 673672.591073548
59 0.5 1 0.18 1 442103.590810522
59 0.49 1 0.21 1 900103.722088287
60 1 0 0.018 0.0011 12542074.3976634
60 0.8 0.02 0.04 0.15 5579442.96296882
60 0.67 0.63 0.073 0.53 2918555.91410268
60 0.59 0.98 0.11 0.69 1696197.43711112
60 0.55 1 0.14 1 1051785.23473759
60 0.52 1 0.16 1 673672.591073548
60 0.5 1 0.18 1 442103.590810522
60 0.49 1 0.21 1 900103.722088287
61 1 0 0.018 0.0011 12542074.3976634
61 0.8 0.02 0.04 0.15 5579442.96296882
61 0.67 0.63 0.073 0.53 2918555.91410268
61 0.59 0.98 0.11 0.69 1696197.43711112
61 0.55 1 0.14 1 1051785.23473759
61 0.52 1 0.16 1 673672.591073548
61 0.5 1 0.18 1 442103.590810522
61 0.49 1 0.21 1 900103.722088287
62 1 0 0.018 0.0011 12542074.3976634
62 0.8 0.02 0.04 0.15 5579442.96296882
62 0.67 0.63 0.073 0.53 2918555.91410268
62 0.59 0.98 0.11 0.69 1696197.43711112
62 0.55 1 0.14 1 1051785.23473759
62 0.52 1 0.16 1 673672.591073548
62 0.5 1 0.18 1 442103.590810522
62 0.49 1 0.21 1 900103.722088287
63 1 0 0.018 0.0011 12542074.3976634
63 0.8 0.02 0.04 0.15 5579442.96296882
63 0.67 0.63 0.073 0.53 2918555.91410268
63 0.59 0.98 0.11 0.69 1696197.43711112
63 0.55 1 0.14 1 1051785.23473759
63 0.52 1 0.16 1 673672.591073548
63 0.5 1 0.18 1 442103.590810522
63 0.49 1 0.21 1 900103.722088287
64 1 0 0.018 0.0011 12542074.3976634
64 0.8 0.02 0.04 0.15 5579442.96296882
64 0.67 0.63 0.073 0.53 2918555.91410268
64 0.59 0.98 0.11 0.69 1696197.43711112
64 0.55 1 0.14 1 1051785.23473759
64 0.52 1 0.16 1 673672.591073548
64 0.5 1 0.18 1 442103.590810522
64 0.49 1 0.21 1 900103.722088287
65 1 0 0.018 0.0011 12542074.3976634
65 0.8 0.02 0.04 0.15 5579442.96296882
65 0.67 0.63 0.073 0.53 2918555.91410268
65 0.59 0.98 0.11 0.69 1696197.43711112
65 0.55 1 0.14 1 1051785.23473759
65 0.52 1 0.16 1 673672.591073548
65 0.5 1 0.18 1 442103.590810522
65 0.49 1 0.21 1 900103.722088287
66 1 0 0.018 0.0011 12542074.3976634
66 0.8 0.02 0.04 0.15 5579442.96296882
66 0.67 0.63 0.073 0.53 2918555.91410268
66 0.59 0.98 0.11 0.69 1696197.43711112
66 0.55 1 0.14 1 1051785.23473759
66 0.52 1 0.16 1 673672.591073548
66 0.5 1 0.18 1 442103.590810522
66 0.49 1 0.21 1 900103.722088287
67 1 0 0.018 0.0011 12542074.3976634
67 0.8 0.02 0.04 0.15 5579442.96296882
67 0.67 0.63 0.073 0.53 2918555.91410268
67 0.59 0.98 0.11 0.69 1696197.43711112
67 0.55 1 0.14 1 1051785.23473759
67 0.52 1 0.16 1 673672.591073548
67 0.5 1 0.18 1 442103.590810522
67 0.49 1 0.21 1 900103.722088287
68 1 0 0.018 0.0011 12542074.3976634
68 0.8 0.02 0.04 0.15 5579442.96296882
68 0.67 0.63 0.073 0.53 2918555.91410268
68 0.59 0.98 0.11 0.69 1696197.43711112
68 0.55 1 0.14 1 1051785.23473759
68 0.52 1 0.16 1 673672.591073548
68 0.5 1 0.18 1 442103.590810522
68 0.49 1 0.21 1 900103.722088287
69 1 0 0.018 0.0011 12542074.3976634
69 0.8 0.02 0.04 0.15 5579442.96296882
69 0.67 0.63 0.073 0.53 2918555.91410268
69 0.59 0.98 0.11 0.69 1696197.43711112
69 0.55 1 0.14 1 1051785.23473759
69 0.52 1 0.16 1 673672.591073548
69 0.5 1 0.18 1 442103.590810522
69 0.49 1 0.21 1 900103.722088287
70 1 0 0.018 0.0011 12542074.3976634
70 0.8 0.02 0.04 0.15 5579442.96296882
70 0.67 0.63 0.073 0.53 2918555.91410268
70 0.59 0.98 0.11 0.69 1696197.43711112
70 0.55 1 0.14 1 1051785.23473759
70 0.52 1 0.16 1 673672.591073548
70 0.5 1 0.18 1 442103.590810522
70 0.49 1 0.21 1 900103.722088287
71 1 0 0.018 0.0011 12542074.3976634
71 0.8 0.02 0.04 0.15 5579442.96296882
71 0.67 0.63 0.073 0.53 2918555.91410268
71 0.59 0.98 0.11 0.69 1696197.43711112
71 0.55 1 0.14 1 1051785.23473759
71 0.52 1 0.16 1 673672.591073548
71 0.5 1 0.18 1 442103.590810522
71 0.49 1 0.21 1 900103.722088287
72 1 0 0.018 0.0011 12542074.3976634
72 0.8 0.02 0.04 0.15 5579442.96296882
72 0.67 0.63 0.073 0.53 2918555.91410268
72 0.59 0.98 0.11 0.69 1696197.43711112
72 0.55 1 0.14 1 1051785.23473759
72 0.52 1 0.16 1 673672.591073548
72 0.5 1 0.18 1 442103.590810522
72 0.49 1 0.21 1 900103.722088287
73 1 0 0.018 0.0011 12542074.3976634
73 0.8 0.02 0.04 0.15 5579442.96296882
73 0.67 0.63 0.073 0.53 2918555.91410268
73 0.59 0.98 0.11 0.69 1696197.43711112
73 0.55 1 0.14 1 1051785.23473759
73 0.52 1 0.16 1 673672.591073548
73 0.5 1 0.18 1 442103.590810522
73 0.49 1 0.21 1 900103.722088287
74 1 0 0.018 0.0011 12542074.3976634
74 0.8 0.02 0.04 0.15 5579442.96296882
74 0.67 0.63 0.073 0.53 2918555.91410268
74 0.59 0.98 0.11 0.69 1696197.43711112
74 0.55 1 0.14 1 1051785.23473759
74 0.52 1 0.16 1 673672.591073548
74 0.5 1 0.18 1 442103.590810522
74 0.49 1 0.21 1 900103.722088287
75 1 0 0.018 0.0011 12542074.3976634
75 0.8 0.02 0.04 0.15 5579442.96296882
