"TotalBio" "Sim"
704273.090618717 5
685134.115067986 5
910484.527750766 5
902206.204110222 5
867256.657825807 5
816735.889633866 5
789866.997801496 5
785015.09030772 5
981374.858491711 5
922100.753959847 5
876936.823898199 5
984915.87318965 5
1056761.33145339 5
1116620.34880112 5
1035551.79603135 5
1122368.76710564 5
1146842.37614957 5
1259115.39462021 5
1183863.68281677 5
1099144.95026729 5
1125483.84679381 5
1167388.17293717 5
1345430.75879684 5
1272273.48109477 5
1150507.80710088 5
1080336.40951037 5
1535208.81434037 5
1583672.33742402 5
692035.870723111 6
622402.368341745 6
844702.796393106 6
927484.638376944 6
958301.175327633 6
989438.815483779 6
943094.131955012 6
921890.604739691 6
928453.239794678 6
836182.754591386 6
923869.225264047 6
945667.917884992 6
851246.901202948 6
796316.926047489 6
922915.694040131 6
990304.247624011 6
901892.109935786 6
822900.602549428 6
784118.105011336 6
708334.115568578 6
676765.371137753 6
821995.971794111 6
902263.13256292 6
991987.663493008 6
1080009.25821373 6
1451050.58648266 6
1558116.14382248 6
1995992.9218959 6
2598735.07451916 6
2545265.42772655 6
2242205.50665247 6
2610525.29629869 6
2300705.08027702 6
2202412.37310786 6
2065103.93265382 6
1824255.47836877 6
1628787.76281075 6
1602530.92223018 6
1508691.25895673 6
1511896.75726742 6
1503707.89236806 6
1314278.07152389 6
1616513.48039251 6
1735753.39668402 6
1756682.73235796 6
1858282.9514236 6
1727908.5816045 6
1646735.54898979 6
1974980.30983965 6
1866404.28724584 6
1881509.4320097 6
1749352.00329166 6
1507020.2919657 6
1307103.03140343 6
1299971.97768871 6
1235775.25591383 6
1106136.51207073 6
1242154.98434579 6
1267718.27414051 6
1294199.54135451 6
1529761.87562444 6
1527743.47808824 6
1469989.84638971 6
1567807.53074969 6
1417102.78088725 6
1274070.30942179 6
1175531.21177697 6
1078088.19641799 6
1128448.99040558 6
1143815.69303492 6
1123314.31630135 6
1099521.63753061 6
1048193.25557049 6
1094779.86437183 6
1296758.18755869 6
1181204.23139215 6
1143464.25003113 6
1363019.05151354 6
1333282.94133315 6
1569181.64278502 6
1615555.55711829 6
1589648.73328624 6
1615783.62227338 6
1500665.30023999 6
1476548.10295572 6
1432199.87678966 6
1236478.70286022 6
1196853.38655804 6
1187589.8801396 6
1034474.8916446 6
907939.384137281 6
892432.828163717 6
942437.731814058 6
933932.334013484 6
1032299.93670664 6
